,darija,eng
4896,TaTbi9,application
4897,Sa7afa,press
4898,jem3,addition
4899,jam3,addition
4900,jm3,addition
4901,station,station
4902,ma7al,shop
4903,mnTa9a,region
4904,minTa9a,region
4905,chek,doubt
4906,chk,doubt
4907,aghlabia,majority
4908,daraja,degree
4909,dem,blood
4910,dmm,blood
4911,dm,blood
4912,SoT,sound
4913,SouT,sound
4914,maw9i3,site
4915,ahammia,importance
4916,3onwan,title
4917,la9ab,title
4918,faSila,species
4919,zyada,increase
4920,ziyada,increase
4921,ihtimam,concern
4922,moSaba9a,competition
4923,bernamaj,software
4924,siyda,lady
4925,jawab,answer
4926,2ard,earth
4927,bent,daughter
4928,hadaf,purpose
4929,ms2oulia,responsibility
4930,mas2oulia,responsibility
4931,ra2is,leader
4932,wad,river
4933,ouad,river
4934,3in,eye
4935,3ayn,eye
4936,9oDra,ability
4937,jadibia,appeal
4938,mo3arada,opposition
4939,7amla,campaign
4940,7emla,campaign
4941,7mla,campaign
4942,7tiram,respect
4943,mohimma,task
4944,solde,sale
4945,tkhfiD,sale
4946,kaml,whole
4947,DabiT,officer
4948,9ism,division
4949,biasa,piece
4950,piasa,piece
4951,na9S,lack
4952,marad,disease
4953,mard,disease
4954,mrd,disease
4955,materiel,equipment
4956,misa7a,surface
4957,oxford,oxford
4958,Talab,demand
4959,boSTa,post
4960,fom,mouth
4961,fmm,mouth
4962,fm,mouth
4963,radio,radio
4964,mo7awala,attempt
4965,9iTa3,sector
4966,charika,firm
4967,7ala,status
4968,salam,peace
4969,tanawwo3,variety
4970,ostad,teacher
4971,stad,teacher
4972,mo3llim,teacher
4973,mo3allim,teacher
4974,barnamaj,show
4975,naTi9,speaker
4976,trebia,baby
4977,tribia,baby
4978,dra3,arm
4979,9a3ida,base
4980,anisa,miss
4981,2anisa,miss
4982,mochkil,trouble
4983,ta9afa,culture
4984,ittijah,direction
4985,siya9,context
4986,chakhSiya,character
4987,chkhSiya,character
4988,7arf,character
4989,7rf,character
4990,ni9ach,discussion
4991,mo7adata,discussion
4992,maDi,past
4993,wazn,weight
4994,monaDDama,organisation
4995,akh,brother
4996,dawri,league
4997,3oSba,league
4998,charT,condition
4999,makina,machine
5000,ni9ach,argument
5001,dalil,argument
5002,sex,sex
5003,jins,sex
5004,mizania,budget
5005,nglizia,english
5006,transpor,transport
5007,9sem,share
5008,9sm,share
5009,walida,mum
5010,flous cash,cash
5011,tabadol,exchange
5012,mosa3ada,aid
5013,mktaba,library
5014,maktaba,library
5015,noskha,version
5016,nskha,version
5017,9a3ida,rule
5018,atay,tea
5019,tawazon,balance
5020,mizan,balance
5021,3chia,afternoon
5022,mnTa9a,district
5023,minTa9a,district
5024,Dora,turn
5025,mohimma,duty
5026,stiTla3,survey
5027,7oDor,presence
5028,t2tir,influence
5029,ta2tir,influence
5030,te2tir,influence
5031,7jra,stone
5032,7ajra,stone
5033,7ejra,stone
5034,kelb,dog
5035,klb,dog
5036,kalb,dog
5037,mjmo3a,collection
5038,modir,executive
5039,khiTab,speech
5040,waDifa,function
5041,malika,queen
5042,jwaj,marriage
5043,STok,stock
5044,fachal,failure
5045,tlmid,student
5046,tilmid,student
5047,Talib,student
5048,mjhoud,effort
5049,majhoud,effort
5050,mejhoud,effort
5051,3oTla,holiday
5052,carriere,career
5053,hojom,attack
5054,hojoum,attack
5055,8ojoum,attack
5056,Tol,length
5057,3awd,horse
5058,ta9addom,progress
5059,nbta,plant
5060,nabta,plant
5061,nebta,plant
5062,3ala9a,relation
5063,kora,ball
5064,dakira,memory
5065,bar,bar
5066,rbe3,quarter
5067,rb3,quarter
5068,t2tir,impact
5069,race,race
5070,Sora,image
5071,tSwira,image
5072,ti9a,trust
5073,7affa,edge
5074,gaz,gas
5075,sekka,railway
5076,skka,railway
5077,t3bir,expression
5078,momayyiza,advantage
5079,avantage,advantage
5080,dheb,gold
5081,dhb,gold
5082,dhab,gold
5083,khcheb,wood
5084,khchb,wood
5085,khchab,wood
5086,rizo,network
5087,text,text
5088,ghaba,forest
5089,okht,sister
5090,kht,sister
5091,rjel,foot
5092,rjl,foot
5093,Tl3,rise
5094,chta,winter
5095,chtwa,winter
5096,9nt,corner
5097,9ent,corner
5098,9ont,corner
5099,9nt,place
5100,9ent,place
5101,9ont,place
5102,aSoranS,insurance
5103,Darar,damage
5104,kridi,credit
5105,2alam,pain
5106,tchri3,legislation
5107,tachri3,legislation
5108,Se77a,strength
5109,S77a,strength
5110,sor3a,speed
5111,kdia,hill
5112,kodia,hill
5113,ni9ach,debate
5114,irada,will
5115,7aDir,present
5116,ti9a,confidence
5117,Sebbar,patient
5118,mriD,patient
5119,ri7,wind
5120,fer9a,band
5121,fr9a,band
5122,mt7af,museum
5123,mot7af,museum
5124,firma,farm
5125,jonayh,pound
5126,match,match
5127,t9Dir,assessment
5128,ta9Dir,assessment
5129,risala,message
5130,miSaj,message
5131,kora,football
5132,lla,no
5133,7ayawan,animal
5134,jld,skin
5135,jeld,skin
5136,jald,skin
5137,mshhed,scene
5138,mashhad,scene
5139,mash8ad,scene
5140,ma9al,article
5141,materiel,stuff
5142,mo9addima,introduction
5143,msra7ia,play
5144,idara,administration
5145,khawf,fear
5146,khouf,fear
5147,ab,dad
5148,nisba,proportion
5149,jazira,island
5150,kontakt,contact
5151,yaban,japan
5152,jappon,japan
5153,moTalaba,claim
5154,vidio,video
5155,tlfaza,tv
5156,wojoud,existence
5157,tilifoun,telephone
5158,7araka,move
5159,masafa,distance
5160,rtiya7,relief
5161,3iyada,cabinet
5162,khizana,cabinet
5163,biTala,unemployment
5164,wa9i3,reality
5165,hadaf,target
5166,7jra,rock
5167,7ajra,rock
5168,7ejra,rock
5169,fikra,concept
5170,rou7,spirit
5171,monaDDama,organization
5172,bni,construction
5173,tilifoun,phone
5174,tawzi3,distribution
5175,9iTar,train
5176,mnDr,sight
5177,mnDer,sight
5178,menDer,sight
5179,So3oba,difficulty
5180,3amil,factor
5181,tmrin,exercise
5182,wikand,weekend
5183,m3raka,battle
5184,ma3raka,battle
5185,me3raka,battle
5186,bourse,grant
5187,min7a,grant
5188,Tiyyara,aircraft
5189,9nTra,bridge
5190,9enTra,bridge
5191,9anTra,bridge
5192,guenTra,bridge
5193,gunTra,bridge
5194,guanTra,bridge
5195,stratijia,strategy
5196,contrast,contrast
5197,tawaSol,communication
5198,khlfia,background
5199,khalfia,background
5200,khelfia,background
5201,shkel,shape
5202,shakl,shape
5203,vin,wine
5204,njma,star
5205,nejma,star
5206,najma,star
5207,amal,hope
5208,khtiyar,selection
5209,tafaSil,detail
5210,tfSil,detail
5211,mosta3mil,user
5212,most3mil,user
5213,kliyan,client
5214,ra2is,master
5215,chta,rain
5216,3arD,offer
5217,3rD,offer
5218,3erD,offer
5219,hadaf,goal
5220,3cha,dinner
5221,maw9if,attitude
5222,wakala,agency
5223,m93ed,seat
5224,m93ad,seat
5225,ma93ad,seat
5226,Tari9a,manner
5227,kermoS,fig.
5228,kermouS,fig.
5229,azma,crisis
5230,de7ka,smile
5231,d7ka,smile
5232,intaj,output
5233,ml7oDa,note
5234,modakkira,note
5235,nota,note
5236,ijra2,procedure
5237,msre7,theatre
5238,Dora,tour
5239,3tiraf,recognition
5240,wsT,middle
5241,ghiyab,absence
5242,bakia,package
5243,masar,track
5244,carte,card
5245,biTa9a,card
5246,3alama,sign
5247,ichara,sign
5248,ramz,sign
5249,ltizam,commitment
5250,la3ib,player
5251,le33ab,player
5252,tahdid,threat
5253,thdid,threat
5254,t8did,threat
5255,Ta9s,weather
5256,jow,element
5257,jaw,element
5258,tnbih,notice
5259,tanbih,notice
5260,tnbi8,notice
5261,ntiSar,victory
5262,te7t,bottom
5263,ta7t,bottom
5264,malia,finance
5265,flous,fund
5266,milaf,file
5267,milef,file
5268,milf,file
5269,rbe7,profit
5270,rb7,profit
5271,rba7,profit
5272,priz,jack
5273,Tri9,route
5274,chinwa,china
5275,mSrof,expenditure
5276,tani,second
5277,nDibaT,discipline
5278,siloun,cell
5279,zinzana,cell
5280,raddat lfi3l,reaction
5281,9l3a,castle
5282,9al3a,castle
5283,9el3a,castle
5284,mo2tamar,congress
5285,fard,individual
5286,ferd,individual
5287,9iyada,lead
5288,3tibar,consideration
5289,din,debt
5290,dine,debt
5291,khtiyar,option
5292,m3riD,exhibition
5293,ma3riD,exhibition
5294,iSla7,reform
5295,teshdid,emphasis
5296,tshdid,emphasis
5297,tashdid,emphasis
5298,rabi3,spring
5299,jmhor,audience
5300,jomhor,audience
5301,jom8our,audience
5302,khaSSia,feature
5303,miza,feature
5304,myza,feature
5305,lmsa,touch
5306,lamsa,touch
5307,lemsa,touch
5308,milkia,estate
5309,majliss,assembly
5310,mjliss,assembly
5311,7ajm,volume
5312,mocharaka,contribution
5313,program,curriculum
5314,maDhar,appearance
5315,mDhar,appearance
5316,mDher,appearance
5317,mo2assasa,institute
5318,mo2ssasa,institute
5319,3oDwia,membership
5320,3rsh,branch
5321,3orsh,branch
5322,3arsh,branch
5323,zbel,waste
5324,zbl,waste
5325,zbal,waste
5326,3n9,neck
5327,3on9,neck
5328,3ng,neck
5329,3ong,neck
5330,mawDo3,object
5331,capitin,captain
5332,9obTan,captain
5333,ta7addi,challenge
5334,mo7adata,conversation
5335,7dit,conversation
5336,7tit,conversation
5337,kod,code
5338,taj,crown
5339,skat,silence
5340,adab,literature
5341,imane,faith
5342,jahennam,hell
5343,jahannam,hell
5344,mdkhl,entry
5345,mdkhal,entry
5346,dkhla,entry
5347,nti9al,transfer
5348,ssiyed,gentleman
5349,ssiyd,gentleman
5350,chkara,bag
5351,mi7faDa,bag
5352,fakhr,coal
5353,fakher,coal
5354,t79i9,investigation
5355,ta79i9,investigation
5356,rjel,leg
5357,rjl,leg
5358,sa9,leg
5359,3ti9ad,belief
5360,majmo3,total
5361,majmou3,total
5362,ra2is,major
5363,9a2id,major
5364,wati9a,document
5365,waSf,description
5366,hadaf,aim
5367,gharaD,aim
5368,vol,flight
5369,khatima,conclusion
5370,ta9lid,tradition
5371,t9lid,tradition
5372,plizir,pleasure
5373,moul,owner
5374,mo3ahada,treaty
5375,mo3a8ada,treaty
5376,rghba,desire
5377,raghba,desire
5378,professor,professor
5379,nskha,copy
5380,noskha,copy
5381,7amD,acid
5382,9Ser,palace
5383,9Sr,palace
5384,adrissa,address
5385,mo2ssasa,institution
5386,mo2assasa,institution
5387,ghda,lunch
5388,jil,generation
5389,chrik,partner
5390,charik,partner
5391,moTor,engine
5392,jornan,newspaper
5393,tkhfiD,reduction
5394,takhfiD,reduction
5395,rafahia,welfare
5396,t3rif,definition
5397,ta3rif,definition
5398,te3rif,definition
5399,Tl9,release
5400,Tle9,release
5401,tSwit,vote
5402,fa7S,examination
5403,9aDi,judge
5404,ghilaf jawwi,atmosphere
5405,9iyada,leadership
5406,sma,sky
5407,nefs,breath
5408,nfs,breath
5409,nafs,breath
5410,khal9,creation
5411,khl9,creation
5412,khel9,creation
5413,Sf,row
5414,Saf,row
5415,Sef,row
5416,guide,guide
5417,guide,guide
5418,7lib,milk
5419,tghTia,cover
5420,shasha,screen
5421,hadaf,intention
5422,na9d,criticism
5423,ne9ra,silver
5424,no9ra,silver
5425,n9ra,silver
5426,kliyan,customer
5427,klian,customer
5428,ri7la,journey
5429,tfsir,explanation
5430,tafsir,explanation
5431,tefsir,explanation
5432,khDr,green
5433,khDer,green
5434,3bar,measure
5435,dmagh,brain
5436,m3na,significance
5437,me3na,significance
5438,iSaba,injury
5439,jria,run
5440,jrya,run
5441,jeria,run
5442,plage,coast
5443,ti9nia,technique
5444,wad,valley
5445,ouad,valley
5446,mchroub,drink
5447,mchrob,drink
5448,machrob,drink
5449,majalla,magazine
5450,imkania,potential
5451,tawra,revolution
5452,mostawTana,settlement
5453,3isa,christ
5454,ma3din,metal
5455,m3dn,metal
5456,9tira7,motion
5457,mo2ashshir,index
5458,baligh,adult
5459,taDakhkhom,inflation
5460,riyaDa,sport
5461,riaDa,sport
5462,mofaja2a,surprise
5463,ta9a3od,pension
5464,m3ml,factory
5465,ma3mal,factory
5466,me3mel,factory
5467,shariT,tape
5468,kaSiTa,tape
5469,tayyar,flow
5470,7did,iron
5471,khaT,lane
5472,Tri9,lane
5473,piscine,pool
5474,7fra,hole
5475,7ofra,hole
5476,7efra,hole
5477,parTma,flat
5478,mo7tawa,content
5479,mazij,combination
5480,tkhliTa,combination
5481,jelsa,session
5482,jlsa,session
5483,jalsa,session
5484,maw3id,appointment
5485,mo3id,appointment
5486,lamoD,fashion
5487,mostahlik,consumer
5488,klian,consumer
5489,sokna,accommodation
5490,skna,accommodation
5491,darajat l7arara,temperature
5492,din,religion
5493,dine,religion
5494,katib,author
5495,mo2allif,author
5496,omma,nation
5497,2omma,nation
5498,chamali,northern
5499,shamali,northern
5500,3ayyina,sample
5501,mosa3ada,assistance
5502,tarjama,interpretation
5503,terjama,interpretation
5504,trjama,interpretation
5505,ta2wil,interpretation
5506,t2wil,interpretation
5507,janib,aspect
5508,3arD,display
5509,ktef,shoulder
5510,ktf,shoulder
5511,wakil,agent
5512,Salon,gallery
5513,konSir,cancer
5514,i9tira7,proposal
5515,9tira7,proposal
5516,2i9tira7,proposal
5517,tasalsol,sequence
5518,bakhira,ship
5519,baTo,ship
5520,entretiyan,interview
5521,markaba,vehicle
5522,merkaba,vehicle
5523,dimo9raTia,democracy
5524,ta7sin,improvement
5525,t7sin,improvement
5526,TaTwir,improvement
5527,tawarroT,involvement
5528,3am,general
5529,jiniral,general
5530,van,van
5531,wjba,meal
5532,wajba,meal
5533,fTor,breakfast
5534,moTor,motor
5535,ida3a,channel
5536,nTiba3,impression
5537,Sonri,tone
5538,wer9a,sheet
5539,war9a,sheet
5540,wr9a,sheet
5541,talawwoth,pollution
5542,ljamal,beauty
5543,alzzine,beauty
5544,morbba3,square
5545,morabba3,square
5546,morebba3,square
5547,ro2ya,vision
5548,bo93a,spot
5549,tmyiz,distinction
5550,tamyiz,distinction
5551,9ehwi,brown
5552,9ahwi,brown
5553,9hwi,brown
5554,jma3a,crowd
5555,mazoT,fuel
5556,mjmo3,sum
5557,majmo3,sum
5558,nkhifaD,decline
5559,mdkhol,revenue
5560,madkhol,revenue
5561,madkhoul,revenue
5562,lkhrif,fall
5563,Ti7a,fall
5564,rijim,diet
5565,trab,soil
5566,9ari2,reader
5567,SaDma,shock
5568,SDma,shock
5569,SeDma,shock
5570,fakiha,fruit
5571,b anniyaba,behalf
5572,nif,nose
5573,mnkher,nose
5574,mankher,nose
5575,mnkhar,nose
5576,7did,steel
5577,fennan,artist
5578,fannan,artist
5579,oughnia,song
5580,oghnia,song
5581,disk,song
5582,Siyana,maintenance
5583,tekwin,formation
5584,takwin,formation
5585,tkwin,formation
5586,gazon,grass
5587,naTi9 bi ism,spokesman
5588,telj,ice
5589,talj,ice
5590,tlj,ice
5591,7adith,talk
5592,bernamaj,program
5593,barnamaj,program
5594,brnamaj,program
5595,rabiT,link
5596,khabir,expert
5597,ikspir,expert
5598,mo2assasa,establishment
5599,mo2ssasa,establishment
5600,mika,plastic
5601,plastic,plastic
5602,morsha7,candidate
5603,mamarr,passage
5604,kanisa,parish
5605,marji3,ref
5606,merji3,ref
5607,mrji3,ref
5608,Tawari2,emergency
5609,mas2oulia,liability
5610,ms2oulia,liability
5611,maw9i3,location
5612,iTar,framework
5613,iDrab,strike
5614,l3robia,countryside
5615,khariTa,map
5616,bo7ayra,lake
5617,manzili,household
5618,mnzili,household
5619,menzili,household
5620,mowafa9a,approval
5621,7odoud,border
5622,Tayr,bird
5623,Tir,bird
5624,Twiyer,bird
5625,dostour,constitution
5626,khrif,autumn
5627,kharif,autumn
5628,mech,cat
5629,mesh,cat
5630,msh,cat
5631,fla7a,agriculture
5632,fila7a,agriculture
5633,zira3a,agriculture
5634,tarkiz,concentration
5635,trkiz,concentration
5636,terkiz,concentration
5637,shab,guy
5638,derri,guy
5639,keswa,dress
5640,kswa,dress
5641,jbel,mountain
5642,jbl,mountain
5643,ra2is ta7rir,editor
5644,ra2is t7rir,editor
5645,ra2is te7rir,editor
5646,mowDo3,theme
5647,mwDo3,theme
5648,mawDo3,theme
5649,ghalaT,error
5650,khaTa2,error
5651,9arD,loan
5652,9rD,loan
5653,9erD,loan
5654,kridi,loan
5655,TanSio,stress
5656,TonSio,stress
5657,ta3afi,recovery
5658,DDo,electricity
5659,rokod 9tiSadi,recession
5660,tarwa,wealth
5661,Talab,request
5662,mo9arana,comparison
5663,byeD,white
5664,byaD,white
5665,mechya,walk
5666,mchya,walk
5667,terkiz,focus
5668,tarkiz,focus
5669,trkiz,focus
5670,chef,chief
5671,ra2is,chief
5672,lwalid,parent
5673,lwalida,parent
5674,kotla,mass
5675,3shba,bush
5676,3oshb,bush
5677,sas,foundation
5678,7emmam,bath
5679,7ammam,bath
5680,7mmam,bath
5681,mwDo3,item
5682,mawDo3,item
5683,moDo3,item
5684,nachr,publication
5685,3chr snin,decade
5686,3achr snin,decade
5687,plage,beach
5688,skar,sugar
5689,sokkar,sugar
5690,3lou,height
5691,3low,height
5692,rtifa3,height
5693,katib,writer
5694,blaka,panel
5695,Sira3,struggle
5696,natija,outcome
5697,kafa2a,efficiency
5698,jarima,offence
5699,addi99a,resolution
5700,khabir,specialist
5701,bar,pub
5702,ta3awon,co-operation
5703,merSa,port
5704,7adita,incident
5705,tamtil,representation
5706,khobz,bread
5707,khbz,bread
5708,charT,clause
5709,sharT,clause
5710,shrT,clause
5711,khata2,mistake
5712,ghalaT,mistake
5713,kheddam,worker
5714,ta9addom,advance
5715,imbraToria,empire
5716,mfhoum,notion
5717,mafhoum,notion
5718,tawSil,delivery
5719,sndo9,chest
5720,rokhSa,licence
5721,rkhSa,licence
5722,motawaSSiT,average
5723,tawsi3,expansion
5724,twsi3,expansion
5725,tousi3,expansion
5726,majmo3a,block
5727,mjmo3a,block
5728,badil,alternative
5729,mostashar,chancellor
5730,l7em,meat
5731,l7m,meat
5732,l7am,meat
5733,ma7all,store
5734,magaza,store
5735,ddat,self
5736,stira7a,break
5737,drama,drama
5738,charika,corporation
5739,3omla,currency
5740,tawsi3,extension
5741,tousi3,extension
5742,mo2tamar,convention
5743,mo3ahada,convention
5744,sharaka,partnership
5745,mahara,skill
5746,tam3elmit,skill
5747,jawla,round
5748,mDowwer,round
5749,nniDam dial l7okm,regime
5750,t79i9,inquiry
5751,ta79i9,inquiry
5752,stifsar,inquiry
5753,rigbi,rugby
5754,felsafa,philosophy
5755,falsafa,philosophy
5756,flsafa,philosophy
5757,majal,scope
5758,bab,gate
5759,a9allia,minority
5760,daka2,intelligence
5761,risTora,restaurant
5762,natija,consequence
5763,mT7ana,mill
5764,golf,golf
5765,ta9a3od,retirement
5766,asba9ia,priority
5767,awlawia,priority
5768,Tiyara,plane
5769,far9,gap
5770,fer9,gap
5771,9elb,core
5772,9alb,core
5773,khal,uncle
5774,3mm,uncle
5775,3em,uncle
5776,nachat,fun
5777,nashat,fun
5778,woSol,arrival
5779,telj,snow
5780,lla,no
5781,Darf,circumstance
5782,Derf,circumstance
5783,amr,command
5784,ta3assof,abuse
5785,ta3ssof,abuse
5786,isa2a,abuse
5787,7gra,abuse
5788,7ogra,abuse
5789,7ed,limit
5790,7d,limit
5791,garanTi,guarantee
5792,garanti,guarantee
5793,sllom,ladder
5794,slloum,ladder
5795,sellom,ladder
5796,9zziba,tail
5797,akhbar,news
5798,a5bar,news
5799,akhbaar,news
5800,jornan,newspaper
5801,journal,newspaper
5802,journan,newspaper
5803,jarida,newspaper
5804,t9rir,report
5805,ta9rir,report
5806,te9rir,report
5807,ghech,cheating
5808,ghechch,cheating
5809,ghch,cheating
5810,li9a7,vaccine
5811,nfijar,explosion
5812,infijar,explosion
5813,tajmmo3,gathering
5814,tajemmo3,gathering
5815,tajammo3,gathering
5816,jtima3,meeting
5817,ljtima3,meeting
5818,Soura,picture
5819,Sora,picture
5820,9edd,size
5821,9dd,size
5822,chkel,shape
5823,chkl,shape
5824,chikaya,complaint
5825,mbde2,principle
5826,mabda2,principle
5827,mebde2,principle
5828,mjerr,drawer
5829,mjrr,drawer
5830,mjarr,drawer
5831,program,program
5832,sinyal,signal
5833,sinial,signal
5834,siniyal,signal
5835,sdd,dam
5836,sedd,dam
5837,sedd,dam
5838,Fassah,Potter
5839,Charmali,Carpenter
5840,Saddiki,Metalworker
5841,Sudiqi,Weaver
5842,Khayyati,Tailor
5843,Nakkashi,Woodcarver
5844,3amlawi,Embroiderer
5845,Neqqashi,Engraver
5846,Sussi,Leatherworker
5847,Zelliji,Mosaic Tile Maker
5848,Tizniti,Silversmith
5849,Qahwaji,Coffee Roaster
5850,Fannan,Artist
5851,Bakkali,Potter
5852,Feragh,Glassblower
5853,Neqqar,Brassworker
5854,3alli,Weaver
5855,Fassari,Blacksmith
5856,Zerkaoui,Shoemaker
5857,Neqqa,Engraver
5858,Takadmi,Textile Dyer
5859,Sbaqi,Textile Printer
5860,Makhzani,Goldsmith
5861,Qassar,Cutter
5862,Talamine,Miner
5863,Njahi,Victory
5864,ra9m,number
5865,raqm,number
5866,3adad,number
5867,Sifr,zero
5868,ziro,zero
5869,zero,zero
5870,wahd,one
5871,wa7d,one
5872,jouj,two
5873,joj,two
5874,tlata,three
5875,rb3a,four
5876,reb3a,four
5877,rab3a,four
5878,khmsa,five
5879,5msa,five
5880,khamsa,five
5881,stta,six
5882,seta,six
5883,sb3a,seven
5884,sab3a,seven
5885,seb3a,seven
5886,tmnia,eight
5887,tmenia,eight
5888,tmania,eight
5889,ts3oud,nine
5890,ts3od,nine
5891,tas3oud,nine
5892,tes3oud,nine
5893,3chra,ten
5894,3achra,ten
5895,aachra,ten
5896,7Dach,eleven
5897,Tnach,twelve
5898,TlTTach,thirteen
5899,telTach,thirteen
5900,rb3Tach,fourteen
5901,rba3Tach,fourteen
5902,rbe3Tach,fourteen
5903,khmsTach,fifteen
5904,5msTach,fifteen
5905,khamsTach,fifteen
5906,khemsTach,fifteen
5907,sTTach,sixteen
5908,seTach,sixteen
5909,sTach,sixteen
5910,sb3Tach,seventeen
5911,sbe3Tach,seventeen
5912,sba3Tach,seventeen
5913,tmnTach,eighteen
5914,tmnTach,eighteen
5915,tmenTach,eighteen
5916,tmanTach,eighteen
5917,ts3Tach,nineteen
5918,tsa3Tach,nineteen
5919,tse3Tach,nineteen
5920,3chrin,twenty
5921,3achrin,twenty
5922,3echrin,twenty
5923,3ochrin,twenty
5924,tlatin,thirty
5925,rb3in,forty
5926,rab3in,forty
5927,reb3in,forty
5928,khmsin,fifty
5929,5amsin,fifty
5930,khamsin,fifty
5931,khemsin,fifty
5932,stin,sixty
5933,settin,sixty
5934,sattin,sixty
5935,sb3in,seventy
5936,seb3in,seventy
5937,sab3in,seventy
5938,tmanin,eighty
5939,tamanin,eighty
5940,ts3in,ninety
5941,tes3in,ninety
5942,tas3in,ninety
5943,mia,hundred
5944,mya,hundred
5945,myya,hundred
5946,alf,thousand
5947,mlyon,million
5948,melyoun,million
5949,mlyoun,million
5950,malyoun,million
5951,mlyar,billion
5952,malyar,billion
5953,melyar,billion
5954,w,and
5955,ou,and
5956,o,and
5957,lwwl,first
5958,lowwl,first
5959,lowel,first
5960,lowwel,first
5961,ttani,second
5962,ttalt,third
5963,rrab3,fourth
5964,rrabe3,fourth
5965,lkhams,fifth
5966,lkhames,fifth
5967,ssads,sixth
5968,ssades,sixth
5969,ssab3,seventh
5970,ssabe3,seventh
5971,ttamn,eighth
5972,ttamen,eighth
5973,ttas3,ninth
5974,ttase3,ninth
5975,l3achr,tenth
5976,l3acher,tenth
5977,llkher,last
5978,llkhar,last
5979,lkher,last
5980,akhir,last
5981,ttolot,one-third
5982,ttolout,one-third
5983,rrobo3,one-fourth
5984,rrobou3,one-fourth
5985,lkhomos,one-fifth
5986,lkhomous,one-fifth
5987,ssodos,one-sixth
5988,ssodous,one-sixth
5989,ttomon,one-eighth
5990,ttomoun,one-eighth
5991,l3ochor,one-tenth
5992,l3ochour,one-tenth
5993,kawkab,planet
5994,kaoukab,planet
5995,9aarra,continent
5996,9arra,continent
5997,qaarra,continent
5998,ifri9ia,africa
5999,ifriqia,africa
6000,europa,europe
6001,oroppa,europe
6002,blad,country
6003,bilad,country
6004,dawla,country
6005,doula,country
6006,dola,country
6007,dowla,country
6008,mghrib,morocco
6009,maghrib,morocco
6010,ssa3oudia,saudi arabia
6011,9atar,qatar
6012,imarat,emirates
6013,dzair,algeria
6014,jaza2ir,algeria
6015,ljaza2ir,algeria
6016,ljazayr,algeria
6017,fransa,france
6018,Sbania,spain
6019,brT9iz,portugal
6020,lbart9iz,portugal
6021,bortoghal,portugal
6022,lbortoghal,portugal
6023,almania,germany
6024,almanya,germany
6025,swisra,switzerland
6026,souisra,switzerland
6027,japoun,japan
6028,jjapoun,japan
6029,jjapon,japan
6030,mirikan,united states
6031,lmirikan,united states
6032,ngliz,united kingdom
6033,negliz,united kingdom
6034,ingliz,united kingdom
6035,bljika,belgium
6036,beljika,belgium
6037,baljika,belgium
6038,talyan,italy
6039,talian,italy
6040,misr,egypt
6041,misra,egypt
6042,mesr,egypt
6043,maSr,egypt
6044,touns,tunisia
6045,moritania,mauritania
6046,mouritania,mauritania
6047,filistin,palestine
6048,filistine,palestine
6049,chinwa,china
6050,SSin,china
6051,younan,greece
6052,yonan,greece
6053,mdina,city
6054,madina,city
6055,3aSima,capital
6056,3aaSima,capital
6057,fas,fez
6058,faas,fez
6059,fes,fez
6060,sla,salé
6061,sala,salé
6062,mknas,meknes
6063,meknes,meknes
6064,meknas,meknes
6065,meknes,meknes
6066,oujda,oujda
6067,wejda,oujda
6068,ouajda,oujda
6069,wjda,oujda
6070,9niTra,kenitra
6071,qniTra,kenitra
6072,agadir,agadir
6073,tetouan,tetouan
6074,TiTwan,tetouan
6075,TeTwan,tetouan
6076,titouan,tetouan
6077,tmara,temara
6078,temara,temara
6079,asfi,safi
6080,safi,safi
6081,mo7mmadia,mohammedia
6082,mohammadia,mohammedia
6083,mo7mmedia,mohammedia
6084,mohmmedia,mohammedia
6085,khribga,khouribga
6086,khouribga,khouribga
6087,khoribga,khouribga
6088,kaza,casablanca
6089,casa,casablanca
6090,darbida,casablanca
6091,ddar lbida,casablanca
6092,dar bida,casablanca
6093,Tanja,tangier
6094,mrrakch,marrakech
6095,mrrakech,marrakech
6096,mrrakach,marrakech
6097,rbaT,rabat
6098,jdida,el jadida
6099,el jadida,el jadida
6100,jjdida,el jadida
6101,bnimllal,beni mellal
6102,bni mllal,beni mellal
6103,bni mellal,beni mellal
6104,bani mellal,beni mellal
6105,ait melloul,ait melloul
6106,nnador,nador
6107,nador,nador
6108,dar bo3zza,dar bouazza
6109,dar bouazza,dar bouazza
6110,darbo3zza,dar bouazza
6111,dar bo3za,dar bouazza
6112,taza,taza
6113,settat,settat
6114,sttat,settat
6115,stat,settat
6116,berrchid,berrechid
6117,brrchid,berrechid
6118,brchid,berrechid
6119,khmisat,khemisset
6120,khemisset,khemisset
6121,khomisat,khemisset
6122,lkhmisat,khemisset
6123,inzggan,inezgane
6124,inzegane,inezgane
6125,inezgane,inezgane
6126,inezgan,inezgane
6127,9Sr lkhbir,ksar el kabir
6128,l9Ser lkbir,ksar el kabir
6129,9Sar lkbir,ksar el kabir
6130,9Ser el kabir,ksar el kabir
6131,l3raich,larache
6132,l3raych,larache
6133,laaraich,larache
6134,glmim,guelmim
6135,golmim,guelmim
6136,guelmim,guelmim
6137,glimim,guelmim
6138,khnifra,khenifra
6139,khonifra,khenifra
6140,khenifra,khenifra
6141,brkan,berkane
6142,berkane,berkane
6143,berkan,berkane
6144,taourirt,taourirt
6145,tawrirt,taourirt
6146,boskkora,bouskoura
6147,boskora,bouskoura
6148,bouskoura,bouskoura
